pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P00072,R00072,100.0,75.0,1.05,55.0,17.0
P00073,R00073,160.0,120.0,1.0,100.0,17.0
P00074,R00074,120.0,90.0,1.05,65.0,15.0
P00075,R00075,140.0,105.0,1.0,85.0,16.0
P00076,R00076,130.0,95.0,1.1,75.0,18.0
P00077,R00077,140.0,100.0,1.0,90.0,14.0
P00078,R00078,165.0,130.0,0.95,110.0,19.0
P00079,R00079,110.0,85.0,1.0,55.0,15.0
P00080,R00080,125.0,90.0,1.05,70.0,17.0
P00081,R00081,155.0,115.0,1.0,95.0,16.0
P00082,R00082,165.0,125.0,1.05,105.0,15.0
P00083,R00083,140.0,105.0,1.1,85.0,14.0
P00084,R00084,155.0,115.0,1.0,95.0,17.0
P00085,R00085,140.0,100.0,1.0,80.0,16.0
P00086,R00086,165.0,120.0,1.05,105.0,18.0
P00087,R00087,170.0,130.0,1.0,110.0,15.0
P00088,R00088,120.0,90.0,1.05,65.0,17.0
P00089,R00089,145.0,105.0,1.0,85.0,16.0
P00090,R00090,150.0,110.0,1.05,90.0,15.0
P00091,R00091,170.0,125.0,1.0,105.0,18.0
P00092,R00092,165.0,120.0,1.1,100.0,17.0
P00093,R00093,130.0,95.0,1.0,70.0,14.0
P00094,R00094,175.0,135.0,0.95,115.0,19.0
P00095,R00095,140.0,100.0,1.0,80.0,16.0
P00096,R00096,155.0,115.0,1.05,95.0,15.0
P00097,R00097,155.0,115.0,1.0,95.0,17.0
P00098,R00098,170.0,125.0,1.05,105.0,16.0
P00099,R00099,135.0,100.0,1.1,80.0,15.0
P00100,R00100,130.0,95.0,1.0,75.0,17.0
P00101,R00101,135.0,100.0,1.0,80.0,16.0
P00102,R00102,160.0,120.0,1.05,100.0,18.0
P00103,R00103,165.0,125.0,1.0,105.0,15.0
P00104,R00104,130.0,95.0,1.05,75.0,17.0
P00105,R00105,95.0,70.0,1.0,50.0,16.0
P00106,R00106,70.0,50.0,1.05,30.0,18.0
P00107,R00107,95.0,70.0,1.1,50.0,17.0
P00108,R00108,75.0,55.0,1.0,35.0,14.0
P00109,R00109,65.0,45.0,1.0,25.0,16.0
P00110,R00110,100.0,80.0,1.05,60.0,19.0
P00111,R00111,85.0,65.0,1.0,45.0,15.0
P00112,R00112,100.0,75.0,1.05,55.0,17.0
P00113,R00113,145.0,105.0,1.0,85.0,16.0
P00114,R00114,155.0,115.0,1.05,95.0,15.0
P00115,R00115,120.0,90.0,1.1,65.0,14.0
P00116,R00116,135.0,100.0,1.0,80.0,17.0
P00117,R00117,135.0,100.0,1.0,80.0,16.0
P00118,R00118,165.0,125.0,1.05,105.0,18.0
P00119,R00119,160.0,120.0,1.0,100.0,15.0
P00120,R00120,130.0,95.0,1.05,75.0,17.0
P00121,R00121,145.0,105.0,1.0,85.0,16.0
P00122,R00122,165.0,125.0,1.05,105.0,15.0
P00123,R00123,180.0,135.0,1.0,115.0,18.0
P00124,R00124,190.0,140.0,1.1,120.0,17.0
P00125,R00125,195.0,145.0,1.0,125.0,16.0
P00126,R00126,175.0,130.0,0.95,110.0,19.0
P00127,R00127,170.0,125.0,1.0,105.0,15.0
P00128,R00128,165.0,120.0,1.05,100.0,17.0
P00129,R00129,195.0,145.0,1.0,125.0,18.0
P00130,R00130,210.0,160.0,1.05,135.0,17.0
P00131,R00131,170.0,125.0,1.1,105.0,16.0
P00132,R00132,165.0,120.0,1.0,100.0,15.0
P00133,R00133,165.0,120.0,1.0,100.0,17.0
P00134,R00134,200.0,150.0,1.05,130.0,18.0
P00135,R00135,190.0,140.0,1.0,120.0,15.0
P00136,R00136,170.0,125.0,1.05,105.0,17.0
P00137,R00137,155.0,115.0,1.0,95.0,16.0
P00138,R00138,160.0,120.0,1.05,100.0,15.0
P00139,R00139,180.0,135.0,1.0,115.0,18.0
P00140,R00140,195.0,145.0,1.1,125.0,17.0
P00141,R00141,190.0,140.0,1.0,120.0,16.0
P00142,R00142,175.0,130.0,0.95,110.0,19.0
P00143,R00143,155.0,115.0,1.0,95.0,15.0
P00144,R00144,170.0,125.0,1.05,105.0,17.0
P00145,R00145,110.0,85.0,1.0,70.0,16.0
P00146,R00146,85.0,65.0,1.05,50.0,15.0
P00147,R00147,105.0,80.0,1.0,60.0,17.0
P00148,R00148,85.0,65.0,1.1,50.0,18.0
P00149,R00149,70.0,50.0,1.0,30.0,14.0
P00150,R00150,100.0,80.0,0.95,60.0,19.0
P00151,R00151,80.0,60.0,1.0,40.0,16.0
P00152,R00152,85.0,65.0,1.05,50.0,15.0
P00153,R00153,145.0,105.0,1.0,85.0,16.0
P00154,R00154,150.0,110.0,1.05,90.0,15.0
P00155,R00155,175.0,130.0,1.0,110.0,18.0
P00156,R00156,130.0,95.0,1.1,75.0,14.0
P00157,R00157,140.0,100.0,1.0,80.0,17.0
P00158,R00158,165.0,125.0,1.05,105.0,19.0
P00159,R00159,160.0,120.0,1.0,100.0,15.0
P00160,R00160,165.0,125.0,1.05,105.0,17.0
P00161,R00161,145.0,135.0,1.1,100.0,20.0
P00162,R00162,120.0,75.0,1.1,45.0,13.0
P00163,R00163,145.0,130.0,1.05,60.0,16.0
P00164,R00164,110.0,95.0,1.0,85.0,17.0
P00165,R00165,115.0,75.0,1.1,45.0,18.0
P00166,R00166,130.0,105.0,1.0,55.0,20.0
P00167,R00167,110.0,80.0,0.95,40.0,12.0
P00168,R00168,110.0,65.0,1.05,55.0,14.0
P00169,R00169,110.0,95.0,1.0,65.0,19.0
P00170,R00170,90.0,110.0,1.0,45.0,13.0
P00171,R00171,95.0,100.0,0.95,35.0,15.0
P00172,R00172,105.0,90.0,0.95,50.0,15.0
P00173,R00173,100.0,70.0,0.95,65.0,18.0
P00174,R00174,115.0,145.0,1.0,85.0,20.0
P00175,R00175,100.0,100.0,1.0,55.0,14.0
P00176,R00176,105.0,65.0,1.1,75.0,15.0
P00177,R00177,160.0,85.0,1.0,40.0,18.0
P00178,R00178,125.0,115.0,1.05,55.0,13.0
P00179,R00179,125.0,100.0,1.1,75.0,16.0
P00180,R00180,130.0,75.0,0.95,65.0,16.0
P00181,R00181,120.0,70.0,1.0,65.0,18.0
P00182,R00182,160.0,110.0,0.95,55.0,19.0
P00183,R00183,130.0,105.0,1.05,95.0,15.0
P00184,R00184,115.0,55.0,1.05,65.0,15.0
P00185,R00185,120.0,105.0,1.1,45.0,18.0
P00186,R00186,145.0,105.0,1.0,35.0,19.0
P00187,R00187,115.0,115.0,1.05,60.0,14.0
P00188,R00188,115.0,80.0,0.95,30.0,14.0
P00189,R00189,120.0,70.0,1.1,45.0,16.0
P00190,R00190,130.0,130.0,1.0,60.0,18.0
P00191,R00191,150.0,95.0,1.05,80.0,19.0
P00192,R00192,125.0,105.0,1.1,55.0,14.0
P00193,R00193,125.0,85.0,1.0,40.0,17.0
P00194,R00194,115.0,85.0,0.95,70.0,19.0
P00195,R00195,95.0,85.0,1.0,90.0,14.0
P00196,R00196,105.0,75.0,0.9,50.0,14.0
P00197,R00197,100.0,70.0,0.9,65.0,16.0
P00198,R00198,135.0,115.0,1.1,55.0,18.0
P00199,R00199,140.0,95.0,0.95,70.0,19.0
P00200,R00200,105.0,115.0,1.0,55.0,13.0
P00201,R00201,120.0,70.0,1.1,90.0,20.0
P00202,R00202,100.0,90.0,1.05,70.0,13.0
P00203,R00203,105.0,115.0,1.0,80.0,16.0
P00204,R00204,100.0,80.0,1.0,80.0,16.0
P00205,R00205,115.0,60.0,0.9,45.0,17.0
P00206,R00206,115.0,90.0,0.95,55.0,19.0
P00207,R00207,105.0,105.0,1.05,55.0,14.0
P00208,R00208,125.0,105.0,1.0,45.0,15.0
P00209,R00209,150.0,135.0,0.95,90.0,17.0
P00210,R00210,165.0,95.0,1.05,55.0,19.0
P00211,R00211,160.0,85.0,0.9,30.0,18.0
P00212,R00212,125.0,70.0,1.0,70.0,13.0
P00213,R00213,145.0,55.0,1.0,25.0,14.0
P00214,R00214,130.0,120.0,1.0,90.0,17.0
P00215,R00215,130.0,75.0,0.9,30.0,17.0
P00216,R00216,180.0,75.0,1.0,50.0,18.0
P00217,R00217,110.0,120.0,0.95,40.0,13.0
P00218,R00218,110.0,95.0,1.0,75.0,16.0
P00219,R00219,135.0,105.0,1.0,45.0,16.0
P00220,R00220,145.0,75.0,0.95,70.0,18.0
P00221,R00221,145.0,55.0,1.05,85.0,20.0
P00222,R00222,130.0,130.0,0.95,40.0,13.0
P00223,R00223,125.0,80.0,0.9,70.0,15.0
P00224,R00224,120.0,105.0,1.1,75.0,17.0
P00225,R00225,160.0,105.0,0.95,75.0,16.0
P00226,R00226,140.0,70.0,1.05,35.0,15.0
P00227,R00227,145.0,100.0,1.0,55.0,19.0
P00228,R00228,170.0,95.0,1.0,35.0,19.0
P00229,R00229,120.0,50.0,0.95,75.0,13.0
P00230,R00230,140.0,120.0,1.0,60.0,15.0
P00231,R00231,125.0,95.0,1.0,30.0,15.0
P00232,R00232,150.0,115.0,1.05,65.0,18.0
P00233,R00233,85.0,90.0,1.1,70.0,18.0
P00234,R00234,85.0,90.0,1.0,55.0,19.0
P00235,R00235,90.0,135.0,0.95,80.0,14.0
P00236,R00236,90.0,110.0,1.1,55.0,16.0
P00237,R00237,75.0,70.0,1.0,75.0,16.0
P00238,R00238,105.0,145.0,1.05,75.0,18.0
P00239,R00239,75.0,65.0,1.1,85.0,20.0
P00240,R00240,85.0,70.0,1.05,90.0,14.0
P00241,R00241,125.0,110.0,1.05,45.0,18.0
P00242,R00242,130.0,80.0,0.9,30.0,18.0
P00243,R00243,105.0,90.0,0.95,75.0,14.0
P00244,R00244,115.0,85.0,1.05,90.0,16.0
P00245,R00245,105.0,70.0,0.95,45.0,15.0
P00246,R00246,120.0,120.0,0.9,80.0,19.0
P00247,R00247,125.0,110.0,1.1,55.0,20.0
P00248,R00248,115.0,75.0,1.0,80.0,13.0
P00249,R00249,105.0,95.0,1.15,95.0,20.0
P00250,R00250,110.0,95.0,1.0,85.0,20.0
P00251,R00251,90.0,110.0,1.1,55.0,14.0
P00252,R00252,100.0,110.0,1.1,55.0,16.0
P00253,R00253,95.0,70.0,1.0,55.0,15.0
P00254,R00254,120.0,135.0,1.05,50.0,18.0
P00255,R00255,100.0,55.0,0.95,25.0,18.0
P00256,R00256,100.0,70.0,0.95,35.0,12.0
P00257,R00257,120.0,110.0,1.05,55.0,17.0
P00258,R00258,155.0,85.0,1.05,80.0,18.0
P00259,R00259,155.0,75.0,0.9,70.0,19.0
P00260,R00260,130.0,95.0,1.05,65.0,13.0
P00261,R00261,130.0,60.0,1.15,65.0,15.0
P00262,R00262,150.0,130.0,0.95,80.0,17.0
P00263,R00263,135.0,105.0,0.9,55.0,18.0
P00264,R00264,140.0,95.0,0.95,40.0,18.0
P00265,R00265,130.0,105.0,1.05,95.0,20.0
P00266,R00266,140.0,95.0,1.0,55.0,19.0
P00267,R00267,110.0,115.0,1.0,35.0,13.0
P00268,R00268,110.0,95.0,1.0,80.0,15.0
P00269,R00269,125.0,65.0,0.9,25.0,15.0
P00270,R00270,120.0,135.0,1.0,100.0,20.0
P00271,R00271,150.0,100.0,1.05,95.0,20.0
P00272,R00272,130.0,80.0,1.1,90.0,14.0
P00273,R00273,115.0,100.0,1.05,85.0,16.0
P00274,R00274,95.0,70.0,1.0,30.0,15.0
P00275,R00275,95.0,90.0,1.05,50.0,18.0
P00276,R00276,125.0,115.0,1.05,65.0,19.0
P00277,R00277,85.0,65.0,1.1,85.0,14.0
P00278,R00278,105.0,95.0,1.05,85.0,16.0
P00279,R00279,105.0,90.0,1.0,90.0,17.0
P00280,R00280,95.0,70.0,1.1,45.0,18.0
P00281,R00281,125.0,80.0,1.0,60.0,15.0
P00282,R00282,145.0,60.0,1.0,65.0,18.0
P00283,R00283,130.0,95.0,1.1,50.0,19.0
P00284,R00284,130.0,70.0,1.0,70.0,13.0
P00285,R00285,125.0,60.0,0.9,65.0,15.0
P00286,R00286,120.0,115.0,1.0,65.0,16.0
P00287,R00287,160.0,95.0,1.15,55.0,19.0
P00288,R00288,130.0,60.0,1.0,65.0,19.0
P00289,R00289,100.0,135.0,1.0,100.0,18.0
P00290,R00290,105.0,80.0,1.05,80.0,18.0
P00291,R00291,105.0,100.0,1.15,55.0,20.0
P00292,R00292,90.0,115.0,1.05,55.0,14.0
P00293,R00293,95.0,70.0,1.1,75.0,15.0
P00294,R00294,120.0,145.0,1.0,55.0,16.0
P00295,R00295,100.0,75.0,1.0,30.0,17.0
P00296,R00296,105.0,85.0,1.0,50.0,18.0
P00297,R00297,105.0,115.0,1.15,60.0,17.0
P00298,R00298,95.0,65.0,1.0,75.0,18.0
P00299,R00299,105.0,110.0,1.1,55.0,20.0
P00300,R00300,80.0,90.0,1.05,50.0,13.0
P00301,R00301,95.0,50.0,1.0,55.0,14.0
P00302,R00302,105.0,130.0,0.9,40.0,16.0
P00303,R00303,90.0,70.0,1.0,35.0,17.0
P00304,R00304,100.0,95.0,1.1,65.0,19.0
P00305,R00305,115.0,115.0,1.0,60.0,14.0
P00306,R00306,125.0,85.0,1.1,70.0,15.0
P00307,R00307,145.0,105.0,1.1,75.0,17.0
P00308,R00308,130.0,70.0,1.05,65.0,18.0
P00309,R00309,140.0,65.0,1.1,45.0,19.0
P00310,R00310,140.0,130.0,0.95,60.0,13.0
P00311,R00311,125.0,75.0,1.0,80.0,15.0
P00312,R00312,130.0,85.0,0.9,70.0,16.0
P00313,R00313,145.0,110.0,1.15,75.0,19.0
P00314,R00314,135.0,100.0,1.15,95.0,20.0
P00315,R00315,130.0,110.0,1.0,85.0,14.0
P00316,R00316,125.0,75.0,1.05,80.0,15.0
P00317,R00317,120.0,70.0,0.95,55.0,15.0
P00318,R00318,140.0,115.0,0.9,80.0,19.0
P00319,R00319,120.0,115.0,1.0,65.0,19.0
P00320,R00320,110.0,75.0,1.05,60.0,12.0
P00321,R00321,120.0,115.0,1.05,95.0,17.0
P00322,R00322,130.0,105.0,1.0,85.0,17.0
P00323,R00323,155.0,110.0,1.05,95.0,20.0
P00324,R00324,175.0,115.0,1.0,85.0,20.0
P00325,R00325,115.0,60.0,1.15,65.0,13.0
P00326,R00326,145.0,140.0,0.9,40.0,15.0
P00327,R00327,120.0,55.0,1.0,45.0,16.0
P00328,R00328,135.0,60.0,1.15,75.0,18.0
P00329,R00329,100.0,95.0,1.05,55.0,20.0
P00330,R00330,90.0,90.0,1.0,80.0,13.0
P00331,R00331,90.0,100.0,1.0,85.0,16.0
P00332,R00332,90.0,115.0,1.0,35.0,16.0
P00333,R00333,95.0,50.0,0.95,45.0,17.0
P00334,R00334,110.0,95.0,1.05,55.0,20.0
P00335,R00335,85.0,65.0,0.95,65.0,13.0
P00336,R00336,100.0,90.0,0.9,50.0,14.0
P00337,R00337,105.0,70.0,1.0,30.0,18.0
P00338,R00338,95.0,55.0,1.0,65.0,13.0
P00339,R00339,105.0,75.0,1.05,70.0,15.0
P00340,R00340,105.0,90.0,1.0,60.0,15.0
P00341,R00341,120.0,50.0,1.05,45.0,18.0
P00342,R00342,125.0,135.0,0.95,80.0,20.0
P00343,R00343,95.0,115.0,1.1,95.0,15.0
P00344,R00344,125.0,95.0,1.0,75.0,16.0
P00345,R00345,80.0,75.0,1.05,50.0,16.0
P00346,R00346,85.0,95.0,1.0,85.0,19.0
P00347,R00347,90.0,105.0,1.0,45.0,19.0
P00348,R00348,85.0,115.0,0.9,55.0,13.0
P00349,R00349,80.0,65.0,0.95,45.0,14.0
P00350,R00350,85.0,100.0,1.0,45.0,16.0
P00351,R00351,85.0,70.0,1.05,60.0,17.0
P00352,R00352,85.0,60.0,1.0,65.0,19.0
P00353,R00353,90.0,85.0,1.05,70.0,15.0
P00354,R00354,95.0,85.0,1.1,90.0,17.0
P00355,R00355,100.0,85.0,1.05,90.0,19.0
P00356,R00356,110.0,80.0,0.95,70.0,19.0
P00357,R00357,80.0,50.0,0.95,45.0,12.0
P00358,R00358,110.0,160.0,1.0,105.0,17.0
P00359,R00359,100.0,70.0,1.0,90.0,17.0
P00360,R00360,110.0,75.0,1.0,70.0,18.0
P00361,R00361,120.0,105.0,1.1,85.0,20.0
P00362,R00362,90.0,85.0,1.1,90.0,14.0
P00363,R00363,105.0,135.0,1.05,100.0,17.0
P00364,R00364,100.0,90.0,1.05,90.0,17.0
P00365,R00365,115.0,60.0,1.0,25.0,17.0
P00366,R00366,110.0,115.0,0.95,60.0,19.0
P00367,R00367,95.0,100.0,1.0,45.0,13.0
P00368,R00368,100.0,65.0,1.1,35.0,14.0
P00369,R00369,155.0,95.0,0.95,60.0,17.0
P00370,R00370,160.0,90.0,1.05,90.0,20.0
P00371,R00371,125.0,115.0,1.0,85.0,14.0
P00372,R00372,140.0,75.0,0.95,30.0,14.0
P00373,R00373,140.0,50.0,0.95,45.0,15.0
P00374,R00374,175.0,130.0,1.0,80.0,19.0
P00375,R00375,140.0,70.0,1.05,45.0,19.0
P00376,R00376,140.0,115.0,1.0,55.0,13.0
P00377,R00377,115.0,85.0,1.05,50.0,19.0
P00378,R00378,120.0,80.0,1.05,70.0,13.0
P00379,R00379,100.0,110.0,1.0,65.0,15.0
P00380,R00380,105.0,70.0,0.95,50.0,15.0
P00381,R00381,105.0,60.0,1.05,65.0,18.0
P00382,R00382,150.0,145.0,1.0,95.0,20.0
P00383,R00383,110.0,70.0,1.0,35.0,12.0
P00384,R00384,115.0,80.0,0.95,50.0,14.0
P00385,R00385,90.0,105.0,1.1,95.0,20.0
P00386,R00386,75.0,50.0,0.9,25.0,12.0
P00387,R00387,85.0,100.0,0.95,55.0,15.0
P00388,R00388,85.0,80.0,0.95,30.0,15.0
P00389,R00389,90.0,50.0,0.95,55.0,17.0
P00390,R00390,100.0,140.0,1.0,65.0,20.0
P00391,R00391,80.0,115.0,1.05,95.0,15.0
P00392,R00392,90.0,95.0,1.05,55.0,16.0
P00393,R00393,135.0,125.0,0.9,60.0,15.0
P00394,R00394,115.0,100.0,1.0,75.0,17.0
P00395,R00395,150.0,115.0,0.95,55.0,18.0
P00396,R00396,150.0,50.0,0.9,45.0,18.0
P00397,R00397,110.0,70.0,1.05,45.0,13.0
P00398,R00398,115.0,115.0,0.95,40.0,15.0
P00399,R00399,125.0,105.0,1.05,45.0,16.0
P00400,R00400,140.0,70.0,1.0,50.0,18.0
P00401,R00401,135.0,135.0,1.0,100.0,18.0
P00402,R00402,135.0,50.0,1.1,65.0,18.0
P00403,R00403,175.0,100.0,0.95,75.0,20.0
P00404,R00404,105.0,70.0,1.0,60.0,12.0
P00405,R00405,120.0,60.0,1.05,35.0,14.0
P00406,R00406,145.0,120.0,1.05,90.0,17.0
P00407,R00407,140.0,110.0,1.0,65.0,18.0
P00408,R00408,170.0,115.0,1.0,85.0,20.0
P00409,R00409,100.0,100.0,1.05,55.0,17.0
P00410,R00410,105.0,100.0,0.95,35.0,18.0
P00411,R00411,90.0,90.0,1.05,90.0,20.0
P00412,R00412,90.0,100.0,1.05,45.0,13.0
P00413,R00413,85.0,65.0,0.95,45.0,14.0
P00414,R00414,90.0,135.0,0.95,60.0,16.0
P00415,R00415,90.0,90.0,1.0,70.0,18.0
P00416,R00416,100.0,60.0,1.05,85.0,20.0
P00417,R00417,120.0,95.0,1.05,60.0,18.0
P00418,R00418,120.0,55.0,1.1,85.0,14.0
P00419,R00419,105.0,70.0,1.1,90.0,16.0
P00420,R00420,115.0,90.0,0.95,70.0,16.0
P00421,R00421,110.0,55.0,1.0,85.0,19.0
P00422,R00422,155.0,155.0,1.0,45.0,19.0
P00423,R00423,110.0,85.0,1.05,90.0,14.0
P00424,R00424,120.0,80.0,1.0,30.0,14.0
P00425,R00425,95.0,100.0,1.15,55.0,20.0
P00426,R00426,85.0,75.0,1.0,70.0,13.0
P00427,R00427,105.0,135.0,1.1,80.0,16.0
P00428,R00428,115.0,100.0,1.0,55.0,17.0
P00429,R00429,90.0,65.0,1.0,45.0,17.0
P00430,R00430,100.0,135.0,0.95,70.0,19.0
P00431,R00431,100.0,75.0,1.15,50.0,13.0
P00432,R00432,100.0,90.0,0.95,30.0,14.0
P00433,R00433,115.0,120.0,0.9,60.0,18.0
P00434,R00434,125.0,105.0,1.1,45.0,19.0
P00435,R00435,105.0,105.0,1.0,85.0,14.0
P00436,R00436,110.0,70.0,1.15,50.0,15.0
P00437,R00437,110.0,55.0,1.1,85.0,17.0
P00438,R00438,120.0,110.0,1.05,95.0,20.0
P00439,R00439,105.0,55.0,0.95,45.0,18.0
P00440,R00440,95.0,75.0,1.05,65.0,13.0
P00441,R00441,125.0,115.0,1.05,95.0,15.0
P00442,R00442,125.0,80.0,0.9,50.0,14.0
P00443,R00443,120.0,105.0,0.95,35.0,16.0
P00444,R00444,140.0,95.0,1.0,45.0,18.0
P00445,R00445,155.0,60.0,1.15,85.0,20.0
P00446,R00446,145.0,95.0,0.9,75.0,14.0
P00447,R00447,110.0,90.0,1.1,50.0,14.0
P00448,R00448,135.0,85.0,1.0,60.0,15.0
P00449,R00449,135.0,105.0,1.0,65.0,13.0
P00450,R00450,120.0,100.0,1.1,95.0,17.0
P00451,R00451,145.0,125.0,1.0,40.0,16.0
P00452,R00452,135.0,95.0,1.0,60.0,17.0
P00453,R00453,160.0,70.0,1.1,85.0,20.0
P00454,R00454,110.0,125.0,1.1,80.0,14.0
P00455,R00455,135.0,95.0,1.0,80.0,15.0
P00456,R00456,130.0,75.0,0.9,30.0,15.0
P00457,R00457,105.0,115.0,1.05,55.0,16.0
P00458,R00458,85.0,70.0,1.05,60.0,15.0
P00459,R00459,95.0,125.0,0.95,80.0,19.0
P00460,R00460,100.0,90.0,1.05,50.0,19.0
P00461,R00461,80.0,50.0,1.05,55.0,12.0
P00462,R00462,105.0,150.0,1.0,65.0,16.0
P00463,R00463,90.0,60.0,1.05,65.0,16.0
P00464,R00464,110.0,85.0,1.15,70.0,18.0
P00465,R00465,105.0,105.0,1.05,75.0,14.0
P00466,R00466,105.0,105.0,1.0,55.0,15.0
P00467,R00467,95.0,90.0,0.95,80.0,16.0
P00468,R00468,95.0,110.0,1.1,75.0,19.0
P00469,R00469,95.0,60.0,1.1,45.0,19.0
P00470,R00470,100.0,115.0,1.1,60.0,14.0
P00471,R00471,85.0,90.0,1.05,70.0,15.0
P00472,R00472,95.0,95.0,1.05,70.0,16.0
P00473,R00473,120.0,130.0,0.95,80.0,14.0
P00474,R00474,115.0,60.0,1.1,75.0,15.0
P00475,R00475,105.0,70.0,1.1,90.0,17.0
P00476,R00476,125.0,65.0,1.1,45.0,18.0
P00477,R00477,115.0,55.0,1.15,85.0,20.0
P00478,R00478,125.0,155.0,1.05,75.0,13.0
P00479,R00479,115.0,105.0,1.05,75.0,16.0
P00480,R00480,115.0,85.0,1.0,50.0,15.0
P00481,R00481,120.0,115.0,1.05,70.0,16.0
P00482,R00482,120.0,75.0,1.1,50.0,18.0
P00483,R00483,110.0,100.0,1.05,75.0,20.0
P00484,R00484,105.0,100.0,1.0,65.0,13.0
P00485,R00485,100.0,75.0,1.05,65.0,15.0
P00486,R00486,130.0,150.0,1.0,55.0,16.0
P00487,R00487,130.0,110.0,1.15,75.0,19.0
P00488,R00488,110.0,70.0,1.05,45.0,19.0
P00489,R00489,120.0,95.0,1.05,60.0,18.0
P00490,R00490,100.0,75.0,1.05,70.0,13.0
P00491,R00491,100.0,75.0,0.95,80.0,15.0
P00492,R00492,115.0,100.0,1.05,65.0,16.0
P00493,R00493,115.0,55.0,1.0,25.0,17.0
P00494,R00494,130.0,145.0,1.05,95.0,20.0
P00495,R00495,115.0,95.0,0.95,80.0,13.0
P00496,R00496,100.0,55.0,1.05,25.0,14.0
