route_id,route_number,origin,origin_country,origin_latitude,origin_longitude,destination,destination_country,destination_latitude,destination_longitude,cargo_type,route_name,route,route_sequence,intermediate_ports,transit_days,distance_nm,transshipments,freight_cost_usd,fuel_surcharge_usd,port_handling_usd,estimated_total_cost_usd,vessel_type,service_frequency,available_capacity_teu,route_availability,estimated_co2_kg,port_calls,weather_risk,congestion_level,route_score,cargo_subtype
R00046,46,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,Hazardous,Low-Cost Service,Mumbai → Indian Ocean → Santos,Mumbai → Indian Ocean → Santos,Indian Ocean,11,5112,4,3274.0,417.0,896.0,4587.0,Feeder + Mainline,Weekly,16972,Available,68465.0,6,Elevated,Moderate,53.96,Compressed Gases
R00047,47,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,Bulk,Green Corridor Service,Mumbai → European Hub → Santos,Mumbai → European Hub → Santos,European Hub,10,5001,1,2086.0,296.0,454.0,2836.0,Eco Container Ship,Every 2 days,12953,Limited,72372.0,3,Moderate,Low,73.61,Petroleum
R00048,48,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,General Cargo,Premium Reliability,Mumbai → Suez Canal → Santos,Mumbai → Suez Canal → Santos,Suez Canal,11,5121,2,2611.0,436.0,674.0,3721.0,Post-Panamax Container Ship,3 sailings/week,12294,Limited,66284.0,4,Moderate,Low,64.38,Paper Products
R00049,49,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,General Cargo,Economy Service,Mumbai → Direct Pacific → Valencia,Mumbai → Direct Pacific → Valencia,Direct Pacific,5,2800,3,1668.0,277.0,810.0,2755.0,Feeder + Mainline,Weekly,23433,Available,42740.0,5,Low,Moderate,72.95,Consumer Goods
R00050,50,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,Containerized,Standard Service,Mumbai → Direct Ocean → Valencia,Mumbai → Direct Ocean → Valencia,Direct,5,2992,0,1225.0,162.0,384.0,1771.0,Container Ship,3 sailings/week,11791,Waitlist,43557.0,2,Low,High,78.64,Textiles
R00051,51,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,Perishable,Priority Service,Mumbai → Indian Ocean → Valencia,Mumbai → Indian Ocean → Valencia,Indian Ocean,7,3003,3,2161.0,311.0,840.0,3312.0,Panamax Container Ship,Weekly,19006,Available,46067.0,5,Low,High,66.69,Fresh Vegetables
R00052,52,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,Hazardous,Express Service,Mumbai → Direct Ocean → Valencia,Mumbai → Direct Ocean → Valencia,Direct,4,3015,0,1544.0,215.0,381.0,2140.0,Post-Panamax Container Ship,Daily,14129,Available,41834.0,2,Moderate,High,84.36,Compressed Gases
R00053,53,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,Bulk,Direct Ocean Service,Mumbai → Direct Ocean → Valencia,Mumbai → Direct Ocean → Valencia,Direct,6,2912,0,1223.0,154.0,299.0,1676.0,Large Container Ship,3 sailings/week,15482,Available,41032.0,2,Elevated,Low,86.83,Iron Ore
R00054,54,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,General Cargo,Low-Cost Service,Mumbai → Gulf Hub → Valencia,Mumbai → Gulf Hub → Valencia,Gulf Hub,7,3065,3,2043.0,396.0,802.0,3241.0,Feeder + Mainline,Daily,24358,Available,46805.0,5,Elevated,Moderate,66.25,Paper Products
R00055,55,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,Containerized,Green Corridor Service,Mumbai → European Hub → Valencia,Mumbai → European Hub → Valencia,European Hub,7,3008,2,1739.0,293.0,546.0,2578.0,Eco Container Ship,Daily,16501,Waitlist,46032.0,4,Elevated,High,63.57,Electronics
R00056,56,Mumbai,India,19.076,72.8777,Valencia,Spain,39.4699,-0.3763,Perishable,Premium Reliability,Mumbai → Indian Ocean → Valencia,Mumbai → Indian Ocean → Valencia,Indian Ocean,5,3066,1,1806.0,311.0,461.0,2578.0,Post-Panamax Container Ship,Every 2 days,23283,Available,41023.0,3,Moderate,Low,82.45,Flowers
R00057,57,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,General Cargo,Economy Service,Mumbai → Mediterranean Hub → Istanbul,Mumbai → Mediterranean Hub → Istanbul,Mediterranean Hub,8,3753,3,2004.0,313.0,770.0,3087.0,Feeder + Mainline,3 sailings/week,19593,Available,55543.0,5,Moderate,High,62.4,Retail Products
R00058,58,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,Containerized,Standard Service,Mumbai → Mediterranean Hub → Istanbul,Mumbai → Mediterranean Hub → Istanbul,Mediterranean Hub,7,3907,1,1870.0,318.0,517.0,2705.0,Container Ship,Weekly,10691,Available,59428.0,3,Elevated,Low,77.28,Automotive Parts
R00059,59,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,Perishable,Priority Service,Mumbai → European Hub → Istanbul,Mumbai → European Hub → Istanbul,European Hub,9,3874,2,2162.0,313.0,543.0,3018.0,Panamax Container Ship,Weekly,12054,Available,59227.0,4,Low,Moderate,72.73,Dairy Products
R00060,60,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,Hazardous,Express Service,Mumbai → Cape Route → Istanbul,Mumbai → Cape Route → Istanbul,Cape Route,4,3730,1,2249.0,446.0,452.0,3147.0,Post-Panamax Container Ship,Weekly,13739,Available,54030.0,3,Elevated,High,75.54,Dangerous Goods
R00061,61,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,Bulk,Direct Ocean Service,Mumbai → Direct Ocean → Istanbul,Mumbai → Direct Ocean → Istanbul,Direct,7,3724,0,1419.0,276.0,369.0,2064.0,Large Container Ship,3 sailings/week,9084,Available,51465.0,2,Moderate,High,81.63,Grain
R00062,62,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,General Cargo,Low-Cost Service,Mumbai → Panama Canal → Istanbul,Mumbai → Panama Canal → Istanbul,Panama Canal,9,3977,3,2344.0,424.0,786.0,3554.0,Feeder + Mainline,Weekly,19544,Limited,54832.0,5,Elevated,Low,60.74,Industrial Goods
R00063,63,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,Containerized,Green Corridor Service,Mumbai → European Hub → Istanbul,Mumbai → European Hub → Istanbul,European Hub,11,3969,2,2112.0,319.0,709.0,3140.0,Eco Container Ship,Every 2 days,25230,Waitlist,60969.0,4,Low,High,59.01,Machinery
R00064,64,Mumbai,India,19.076,72.8777,Istanbul,Türkiye,41.0082,28.9784,Perishable,Premium Reliability,Mumbai → Direct Atlantic → Istanbul,Mumbai → Direct Atlantic → Istanbul,Direct Atlantic,5,3787,2,2414.0,318.0,707.0,3439.0,Post-Panamax Container Ship,Every 2 days,11451,Available,52992.0,4,Moderate,Moderate,74.26,Fresh Fruits
R00065,65,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,Bulk,Economy Service,Mumbai → Mediterranean Hub → Mombasa,Mumbai → Mediterranean Hub → Mombasa,Mediterranean Hub,10,5125,3,2331.0,395.0,750.0,3476.0,Feeder + Mainline,3 sailings/week,16454,Limited,74525.0,5,Moderate,Low,62.23,Cement
R00066,66,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,General Cargo,Standard Service,Mumbai → Direct Ocean → Mombasa,Mumbai → Direct Ocean → Mombasa,Direct,11,4915,0,1774.0,259.0,254.0,2287.0,Container Ship,3 sailings/week,20746,Available,66965.0,2,Low,Low,81.24,Paper Products
R00067,67,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,Containerized,Priority Service,Mumbai → Gulf Hub → Mombasa,Mumbai → Gulf Hub → Mombasa,Gulf Hub,9,5208,3,2918.0,406.0,839.0,4163.0,Panamax Container Ship,Every 2 days,16608,Available,65211.0,5,Moderate,Moderate,61.24,Electronics
R00068,68,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,Perishable,Express Service,Mumbai → Direct Pacific → Mombasa,Mumbai → Direct Pacific → Mombasa,Direct Pacific,8,5231,1,2650.0,518.0,540.0,3708.0,Post-Panamax Container Ship,3 sailings/week,22903,Available,64325.0,3,Moderate,Moderate,74.04,Meat
R00069,69,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,Hazardous,Direct Ocean Service,Mumbai → Direct Ocean → Mombasa,Mumbai → Direct Ocean → Mombasa,Direct,12,5121,0,2614.0,434.0,419.0,3467.0,Large Container Ship,3 sailings/week,9718,Waitlist,64514.0,2,Elevated,Moderate,65.39,Toxic Materials
R00070,70,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,Bulk,Low-Cost Service,Mumbai → Suez Canal → Mombasa,Mumbai → Suez Canal → Mombasa,Suez Canal,9,5220,4,2670.0,450.0,930.0,4050.0,Feeder + Mainline,Every 2 days,15230,Available,76055.0,6,Elevated,High,54.95,Liquefied Gas
R00071,71,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,General Cargo,Green Corridor Service,Mumbai → Direct Ocean → Mombasa,Mumbai → Direct Ocean → Mombasa,Direct,13,5020,0,1945.0,356.0,248.0,2549.0,Eco Container Ship,3 sailings/week,13306,Available,72739.0,2,Moderate,Moderate,73.16,Furniture
R00072,72,Mumbai,India,19.076,72.8777,Mombasa,Kenya,-4.0435,39.6682,Containerized,Premium Reliability,Mumbai → Arabian Sea → Mombasa,Mumbai → Arabian Sea → Mombasa,Arabian Sea,9,5036,1,2219.0,429.0,513.0,3161.0,Post-Panamax Container Ship,3 sailings/week,20099,Limited,60749.0,3,Moderate,Low,74.66,Industrial Equipment
R00073,73,Chennai,India,13.0827,80.2707,Dubai,UAE,25.2048,55.2708,Hazardous,Economy Service,Chennai → Gulf Hub → Dubai,Chennai → Gulf Hub → Dubai,Gulf Hub,13,6616,2,3732.0,693.0,635.0,5060.0,Feeder + Mainline,Daily,16661,Available,84764.0,4,Elevated,High,58.12,Flammable Liquids
R00074,74,Chennai,India,13.0827,80.2707,Dubai,UAE,25.2048,55.2708,Bulk,Standard Service,Chennai → East Asia Hub → Dubai,Chennai → East Asia Hub → Dubai,East Asia Hub,12,6734,1,2605.0,337.0,401.0,3343.0,Container Ship,Daily,18973,Waitlist,83766.0,3,Low,Low,64.53,Steel
R00075,75,Chennai,India,13.0827,80.2707,Dubai,UAE,25.2048,55.2708,General Cargo,Priority Service,Chennai → Gulf Hub → Dubai,Chennai → Gulf Hub → Dubai,Gulf Hub,13,6617,3,3039.0,580.0,857.0,4476.0,Panamax Container Ship,Daily,25034,Available,94366.0,5,Moderate,Low,57.78,Retail Products
R00076,76,Chennai,India,13.0827,80.2707,Dubai,UAE,25.2048,55.2708,Containerized,Express Service,Chennai → Direct Ocean → Dubai,Chennai → Direct Ocean → Dubai,Direct,12,6664,0,2810.0,420.0,405.0,3635.0,Post-Panamax Container Ship,3 sailings/week,10984,Available,101933.0,2,Low,Low,78.64,Automotive Parts
R00077,77,Chennai,India,13.0827,80.2707,Dubai,UAE,25.2048,55.2708,Perishable,Direct Ocean Service,Chennai → Direct Ocean → Dubai,Chennai → Direct Ocean → Dubai,Direct,15,6498,0,3036.0,600.0,252.0,3888.0,Large Container Ship,3 sailings/week,16981,Waitlist,76510.0,2,Elevated,Low,63.04,Flowers
R00078,78,Chennai,India,13.0827,80.2707,Dubai,UAE,25.2048,55.2708,Hazardous,Low-Cost Service,Chennai → Arabian Sea → Dubai,Chennai → Arabian Sea → Dubai,Arabian Sea,14,6577,3,4034.0,485.0,727.0,5246.0,Feeder + Mainline,Every 2 days,17213,Limited,98430.0,5,Low,High,51.02,Dangerous Goods
